Source,Target,Probability
3,3,1.0
4,4,1.0
6,6,0.40759290389558656
6,16,0.04375069501063407
6,19,0.03435234905157584
6,27,0.021172442887586528
6,44,0.016583566820938946
6,168,0.02041523655194354
6,189,0.011994257031437397
6,292,0.018577919145685608
6,341,0.021173128073781213
6,386,0.030058126740685105
6,406,0.02321155208580206
6,450,0.0348756561608876
6,455,0.03743335449793339
6,530,0.015987456184214387
6,598,0.03874344015603456
6,676,0.030020205062490573
6,697,0.012908988950353126
6,703,0.04281333379600945
6,720,0.04749764354568956
6,734,0.01051556257040356
6,823,0.027231510229917637
6,959,0.011434078114204523
6,971,0.021767898684511996
6,996,0.019888694751692745
9,9,0.8522046540668125
9,267,0.04551419608379054
9,436,0.04484086238480801
9,635,0.05744028746458905
10,10,0.4046591547869727
10,29,0.005530263219531077
10,40,0.021067333506439866
10,45,0.009727779394798023
10,54,0.019633198374828402
10,86,0.014827777603228696
10,102,0.009835290357627667
10,115,0.020139509544285828
10,153,0.005955797333599233
10,172,0.022807368206068147
10,212,0.005106228435848981
10,253,0.010597278046782059
10,268,0.014326940783297394
10,271,0.014246386443780791
10,313,0.019684005244722993
10,369,0.011309903323719079
10,408,0.006191611060951024
10,424,0.004924710579041826
10,529,0.00734997397552805
10,549,0.012226176362114748
10,580,0.005661114936616166
10,595,0.020841784710469966
10,599,0.004589733701789741
10,620,0.019116030580213376
10,636,0.010068773909480062
10,645,0.021724711422392004
10,665,0.026940971924238104
10,669,0.02218039627724122
10,699,0.005320103544647491
10,718,0.005879039268234726
10,719,0.013018416119641024
10,729,0.01514223226216838
10,750,0.004815732501695223
10,765,0.012134175071679533
10,772,0.027281784141874384
10,794,0.013547209967781358
10,797,0.017707731408072375
10,817,0.02117398637998639
10,835,0.01796351328800844
10,847,0.010418040298661892
10,919,0.025699970445638633
10,962,0.02274008940705571
10,985,0.01588777184924722
11,11,1.0
12,12,0.350239145899006
12,39,0.023527611961662784
12,210,0.03026872873882746
12,215,0.04453525783443166
12,299,0.026879661139253726
12,419,0.0566760767214085
12,562,0.0696295128281233
12,626,0.0818845599633599
12,746,0.07293780906946028
12,788,0.04395913214427367
12,823,0.05041024336371321
12,836,0.08330360851003049
12,953,0.028477137986982506
12,974,0.03727151383946661
13,13,0.37547277255012057
13,100,0.023473751682960075
13,139,0.029022978621605446
13,175,0.013946148510470631
13,212,0.0069045828095653265
13,278,0.018760375843261096
13,296,0.017626563145217995
13,299,0.010094978808234732
13,313,0.02661648336802449
13,334,0.014151943845589758
13,384,0.015080923969001713
13,390,0.03862176435035204
13,396,0.009271998464617247
13,432,0.02105719185040102
13,467,0.01828218565970903
13,512,0.008536466128265734
13,531,0.009307675672731826
13,587,0.03824339958214051
13,637,0.018196394324917705
13,638,0.027886286453128576
13,704,0.03161717228061414
13,718,0.007949568645074527
13,780,0.0285007181789594
13,787,0.03262483733057682
13,817,0.028631218561007643
13,861,0.01590282738246866
13,878,0.011395521203926026
13,916,0.010137030244609877
13,939,0.03465223668892205
13,967,0.007481872760179572
13,974,0.013997763603157132
13,1000,0.03655436748018855
14,14,1.0
15,15,0.7620244046312646
15,30,0.02250712107641399
15,56,0.017804307265517898
15,95,0.01088809324271991
15,127,0.01177097936158959
15,210,0.008780842434667757
15,347,0.009895857438246145
15,573,0.023925978023641867
15,585,0.017494923611450948
15,711,0.012703965788108652
15,716,0.02711017388467701
15,847,0.01088137096810363
15,870,0.03196667519522015
15,883,0.022655285965961752
15,950,0.009590021112415923
16,1,0.041217470056683504
16,12,0.017748133221861306
16,16,0.14152265479980294
16,70,0.01866976757350746
16,84,0.022827692313226237
16,94,0.011358529501642237
16,117,0.018640759478937705
16,127,0.015133396281055356
16,147,0.0156647009691244
16,210,0.011289117427132164
16,242,0.01634984300844329
16,245,0.015241331817741129
16,264,0.009045643321500567
16,267,0.021944860309167185
16,272,0.0046887343776793365
16,290,0.02507935096298622
16,296,0.017504585371789384
16,301,0.0251549617895742
16,322,0.043232714677558945
16,342,0.023997155072833485
16,382,0.02646878170259799
16,386,0.02075270855755682
16,430,0.01643714809158992
16,463,0.025929833075456727
16,465,0.020720100362688326
16,537,0.018404386241927168
16,606,0.02720772778994362
16,643,0.009037258220864125
16,677,0.0121024821411175
16,711,0.01633289318642177
16,723,0.01598728693056483
16,733,0.04605113050847705
16,781,0.02906159329979014
16,790,0.0048187869903242335
16,805,0.03429740461858448
16,806,0.008895708321777456
16,820,0.03732751456732744
16,841,0.015436300192958856
16,906,0.04753762532032504
16,930,0.023500207682635055
16,972,0.007071126241862419
16,992,0.020310593622961885
17,17,1.0
18,18,0.4137555248522409
18,78,0.01219517086978195
18,107,0.004421802622985555
18,151,0.01194706179492781
18,182,0.017843929210352417
18,195,0.019473133337352615
18,198,0.008491261577612912
18,215,0.011112078246971002
18,248,0.006536928998993055
18,302,0.004209591735394268
18,327,0.019207162089075996
18,338,0.010664345655679279
