Source,Target,Probability
1,1,0.1922712149104975
1,6,0.013124092161839001
1,30,0.010752092584293533
1,41,0.015461133455377507
1,48,0.027608105677716852
1,105,0.013257948672733777
1,123,0.019420459131749213
1,125,0.0330264936336385
1,134,0.007701599003676356
1,170,0.010127062451205655
1,188,0.02165503223564632
1,203,0.01344936875475082
1,249,0.034640084248192184
1,259,0.023334681822484125
1,335,0.005461089823659926
1,352,0.0177855427247358
1,378,0.0195264930911167
1,387,0.04002875562253655
1,442,0.02374444434918645
1,468,0.022726294335053247
1,470,0.040715601504041334
1,472,0.014769572358271026
1,473,0.009340523728706295
1,479,0.027048412323208083
1,551,0.03918703439427793
1,553,0.008592900675825344
1,570,0.008544597243862272
1,581,0.03280681245692013
1,652,0.03533395777730161
1,670,0.03064791955033912
1,751,0.009228244931133762
1,755,0.04621111075991314
1,769,0.01502317785877679
1,800,0.017903408029104957
1,803,0.04946379946849916
1,852,0.005372508053864917
1,884,0.01942041724574496
1,938,0.02528801295011908
3,3,0.018021366179311587
3,5,0.015826801638625515
3,83,0.02787885580046559
3,148,0.057318221274766865
3,166,0.035370063087842664
3,167,0.02242298617911329
3,225,0.028780038680870857
3,229,0.0074568168984748716
3,230,0.027476572239478667
3,244,0.02395474991129312
3,245,0.009960312635279385
3,247,0.029592655610183698
3,250,0.03881057648629606
3,350,0.005353701777753814
3,373,0.017570296405498103
3,395,0.029774616253731793
3,404,0.02460402955813927
3,407,0.008665958205136434
3,414,0.02466584711750862
3,497,0.010014971665316261
3,507,0.028035852026979176
3,526,0.03709976646691964
3,528,0.009748927095949964
3,529,0.04343954161700978
3,533,0.019939210922875483
3,594,0.008207780387347374
3,613,0.012696243072778543
3,626,0.032300296867481634
3,649,0.02147974781420055
3,674,0.025013160221155486
3,701,0.03936342952798573
3,748,0.019544410728060083
3,852,0.0061724640686512565
3,857,0.027803236393842
3,865,0.022277662763927456
3,895,0.047866508928774025
3,896,0.033824615279470366
3,904,0.02137945303963433
3,926,0.027755733582459835
3,953,0.021976537337078127
3,964,0.009708512977329876
3,970,0.020847471275002985
4,4,1.0
5,5,1.0
6,6,0.3486416508996177
6,23,0.030245912187381006
6,162,0.01542843547522125
6,204,0.02984268856134564
6,216,0.03568369037238724
6,398,0.022303062789417807
6,406,0.029892771143233795
6,435,0.026993306434638237
6,685,0.07015270738777131
6,707,0.033842461356725494
6,736,0.047315344352334074
6,742,0.01844089133269903
6,753,0.0675934985405228
6,794,0.05920304428306717
6,806,0.02234085739198008
6,819,0.03603581080876511
6,858,0.01801516652546271
6,899,0.03333531931601747
6,905,0.03148642652499103
6,931,0.023206954316420936
7,7,1.0
8,3,0.033603286564558535
8,5,0.029511222710390188
8,8,0.14012473903919587
8,10,0.018294330167306368
8,85,0.06254967337929676
8,134,0.016498955158953287
8,195,0.04388550724003568
8,208,0.027440314384920464
8,275,0.03704169524245605
8,410,0.05324691604702276
8,476,0.019761148738604503
8,493,0.03515879564238557
8,579,0.019314320562230577
8,685,0.09910192811876545
8,817,0.030287168769253074
8,819,0.05090635080883834
8,850,0.018539261571626876
8,878,0.03315984899945601
8,889,0.031877721269030594
8,895,0.08925361153945746
8,950,0.05029729971241718
8,961,0.010996320850400839
8,972,0.04914958348339745
9,9,0.5252126582050801
9,42,0.02594943800309806
9,76,0.031128796778241527
9,163,0.03476950358181599
9,267,0.019763797774946374
9,300,0.036934022400003985
9,376,0.013955239400518842
9,394,0.026506436675204276
9,396,0.013336304529640351
9,485,0.01623182102206735
9,577,0.006317641958090817
9,580,0.020029812913295815
9,581,0.03252420379367109
9,597,0.01138619324525647
9,760,0.038670521788351404
9,768,0.0099484628653362
9,803,0.049037702045429864
9,820,0.027511963803238858
9,870,0.027037527931597936
9,901,0.013570371173053328
9,982,0.02017758011206134
10,10,0.831690063339168
10,20,0.0034603587283020382
10,21,0.009232976425100934
10,57,0.004253929145136823
10,65,0.0034605847478133647
10,108,0.009723488442983637
10,123,0.003766049543638085
10,157,0.0024647187684023585
10,227,0.005111601558690775
10,268,0.0011035211198859264
10,269,0.006066929457999251
10,270,0.0022365715686846815
10,280,0.0034297314885081073
10,324,0.003027321671508063
10,325,0.0020892978886237596
10,350,0.0009036478428808476
10,423,0.001215419282578248
10,424,0.0041902275999457644
10,456,0.0024661990385070527
10,474,0.0032519687534191795
10,493,0.0031826214558271205
10,501,0.0040738823958299175
10,573,0.004220785210184707
10,580,0.003917967155758916
10,601,0.007338080664793139
10,656,0.0020920762824453046
10,676,0.004357025055345987
10,688,0.005050145472336956
10,711,0.002152227747706117
10,714,0.01220518013252542
10,728,0.004784690762956328
10,739,0.0034161329887930814
10,743,0.00654058434435362
10,744,0.0028354016142581066
10,833,0.009196447169397735
10,882,0.00840485653704524
10,908,0.00809192695455625
10,919,0.0038420239435621793
10,934,0.0011533377005469622
11,11,1.0
13,13,0.6197218124284203
13,208,0.033561665220337565
13,389,0.06543755324266083
13,594,0.018718635612217926
13,745,0.04872452624478935
13,752,0.019065694327138664
13,840,0.07620044502810812
13,841,0.08204099262485305
13,987,0.03652867527147407
14,14,1.0
15,15,1.0
16,16,1.0
17,17,1.0
18,18,1.0
20,20,1.0
22,22,1.0
23,23,1.0
24,24,0.26524830848044606
24,76,0.06206660723925609
24,131,0.033266203658720656
24,159,0.04391985510989154
24,192,0.06138700394900571
24,318,0.027903161720892636
24,384,0.02475589094071455
24,416,0.05227358549388097
24,542,0.045585090386127326
24,544,0.06755040546619366
24,691,0.04560440867358695
24,695,0.05671766371132514
24,838,0.07740095249936024
24,887,0.02976659505435511
24,938,0.04998653289851022
24,945,0.0384869849370228
24,955,0.018080749780710375
26,26,0.2398195325688119
26,66,0.0394178345080842
26,97,0.017020115907105237
26,190,0.018536623942290883
26,210,0.02364033491577546
26,213,0.02627180869759973
26,226,0.012579812638422736
26,235,0.03953300222699978
26,268,0.0064069261561784255
26,347,0.019638965411134142
26,352,0.02002454824665994
26,410,0.027984304953622502
26,526,0.03635676939837346
26,536,0.011855898870376169
26,547,0.010566103206196527
26,575,0.022917319734500674
26,650,0.027246936730876428
26,704,0.02158508832690149
26,710,0.041336796704115844
26,716,0.038984216004012036
26,724,0.027431129045029097
26,745,0.02093694307958885
26,751,0.010389980149353472
26,860,0.02546608207823114
26,862,0.026007526591472117
26,890,0.0318772121448457
26,903,0.03279854181662756
26,914,0.04558719341559822
26,919,0.02230638204660449
26,956,0.055476070484611555
27,27,1.0
28,28,1.0
29,23,0.0249079450359998
29,29,0.009787994950054267
29,34,0.00917573868877138
29,93,0.020453126091575947
29,151,0.0088726807417709
29,158,0.030605038918831578
29,167,0.02437367620866028
29,193,0.024969240830767563
29,210,0.026222077912606244
29,230,0.02986689951727919
29,245,0.01082681107547861
29,273,0.02960961102989965
29,275,0.021593567480890002
29,289,0.031830604740584884
29,342,0.022995050504024436
29,375,0.02386358691332452
29,380,0.012507056914223671
29,385,0.025535874541406624
29,403,0.010477425843356702
29,404,0.02674445968472287
29,472,0.01844492970020384
29,493,0.02049592550452438
29,502,0.014493461702926288
29,530,0.021076252092082675
29,582,0.0269577764764008
29,586,0.02166820159357594
29,592,0.031772134883673975
29,596,0.02669894477272109
29,604,0.03409600009295219
29,735,0.02586402598493254
29,767,0.028497377704051783
29,790,0.02586616650649183
29,824,0.012154600550590564
29,836,0.029777352894644126
29,878,0.019330633556025104
29,912,0.025960277475131282
29,913,0.044495639930612084
29,922,0.023536547693524725
29,979,0.022843882181397348
29,980,0.0167716945012728
29,981,0.018705322242438947
29,982,0.02541765766050293
29,984,0.03985672667509366
30,30,1.0
31,31,0.021481066938688106
31,114,0.03424622491438413
31,171,0.035976922693748664
31,278,0.037891582301859066
31,286,0.02029324022372485
31,287,0.038875675299994736
31,301,0.05228920207977987
31,314,0.038403647957828906
31,383,0.03461928171545274
31,423,0.009163419056944908
31,438,0.013153982051815845
31,452,0.035305146787178734
31,473,0.013656178655823283
31,505,0.04486557000863294
31,506,0.022063023824003877
31,509,0.028464108376233997
31,543,0.01122846173004193
31,551,0.057292841196418774
31,573,0.0318217953134932
31,594,0.010444849680043824
31,597,0.01679166936952526
31,615,0.0129494724106954
31,674,0.031830615124103664
31,693,0.008705251683150499
31,704,0.02802955396308483
31,716,0.05062338266326046
31,725,0.0482912636151891
31,744,0.021376963125901687
31,797,0.02072768352194453
31,832,0.018181026445657774
31,875,0.023446322997787324
31,882,0.06336679339089721
31,931,0.022373721987370452
31,981,0.021898485120544434
31,989,0.019871573774795016
32,32,0.16722667727039295
32,43,0.014371985458182787
32,65,0.024271570594389568
32,69,0.014346215395745059
32,111,0.03656521863213079
32,123,0.02641401497771098
32,177,0.010892961756438337
32,266,0.0417884492233724
32,366,0.054867797092825014
32,439,0.01279215432525969
32,453,0.011564012534978824
32,463,0.04664855757121731
32,477,0.016826817398297386
32,508,0.05671154908981452
32,524,0.04222298585901785
32,596,0.029077692541320574
32,641,0.040006022803570886
32,674,0.029611608327466357
32,690,0.006959115750541425
32,713,0.011279451137020606
32,737,0.01131314057354146
32,785,0.03581272838697537
32,798,0.036319009427955386
32,802,0.009198545076687693
32,811,0.031770080860328925
32,834,0.021904335027199497
32,893,0.04292991405551342
32,919,0.026946878105044945
32,926,0.03285837952575742
32,944,0.04801165391546477
32,948,0.008490477305837936
33,33,1.0
34,34,0.40247282829393927
34,58,0.024476564971364384
34,85,0.03070349758990053
34,128,0.021758489321002907
34,214,0.01261404028701201
34,221,0.010026406859252622
34,246,0.01026663634291411
34,403,0.008822341333853309
34,441,0.054683418733538824
34,484,0.05292559911828303
34,515,0.057557488399456576
34,525,0.021239214259732454
34,566,0.016833345148070656
34,596,0.022481400256151148
34,674,0.022894196920617012
34,727,0.020932452524433893
34,817,0.014866936357488099
34,825,0.03812506497179781
34,920,0.010775124457940256
34,956,0.05181415626827367
34,965,0.036173924208461244
34,968,0.02183298870015733
34,976,0.0202792505932285
34,977,0.0154446340831302
35,35,1.0
36,36,0.006298911471769369
36,140,0.11630774033476451
36,272,0.11693429359686466
36,369,0.1784659791346338
36,385,0.13134432225618756
36,401,0.10133468516912056
36,532,0.07885685850465948
36,655,0.09098314876735783
36,690,0.03286614635918212
36,892,0.14660791440546003
37,37,1.0
39,39,0.7811635205338301
39,112,0.06407263493646233
39,204,0.04312405746704675
39,265,0.03348401801354567
39,393,0.07815576904911523
41,41,1.0
42,42,1.0
43,43,1.0
44,44,1.0
45,45,1.0
46,46,1.0
47,29,0.08062935199538038
47,47,0.47958935732477886
47,195,0.03483739869653464
47,210,0.03570739402827772
47,271,0.0379960905777093
47,325,0.01832204584648679
47,428,0.022331023146646242
47,445,0.04182115825625301
47,566,0.027222764109106967
47,724,0.04143317499270114
47,736,0.05305963638171723
47,739,0.029957693241910926
47,774,0.032497291428281685
47,820,0.047193163429252886
47,994,0.017402456544962128
48,24,0.0739619772843784
48,48,0.02910080616867805
48,64,0.04246087349923251
48,72,0.0432442059742221
48,87,0.038224265319062825
48,167,0.033826553629520965
48,210,0.036391823588478166
48,258,0.06583648783350705
48,320,0.05982804315280906
48,352,0.0308256981057036
48,368,0.03323567629157812
48,370,0.0362651738357399
48,396,0.023315174207262722
48,467,0.022266414221675638
48,476,0.01598756952276512
48,635,0.03782315000558459
48,684,0.039378019193435504
48,697,0.03361951560847272
48,710,0.06363367603413769
48,771,0.01797409195990252
48,781,0.03384470005409634
48,894,0.044600084400620174
48,912,0.03602848871594334
48,944,0.06118113631499871
48,955,0.015853455030292844
48,985,0.0312929400479012
49,16,0.04288293218062831
49,49,0.08935860261522971
49,50,0.016636065189852077
49,83,0.027644971134702264
49,120,0.011173389729907817
49,169,0.027551444831650822
49,203,0.015322322244507143
49,219,0.027866850805609317
49,253,0.030237155845934824
49,267,0.022711742432137375
49,296,0.02041498880985396
49,306,0.03336833217145707
49,346,0.02975659462802334
49,361,0.05142656051453955
49,372,0.0213935134961789
49,423,0.0071403956508143155
49,448,0.017189545943080514
49,521,0.024477844559767297
49,533,0.019771934485289286
49,542,0.026272850901297
49,549,0.020094632502865754
49,575,0.023189474623348704
49,584,0.030933905931875717
49,683,0.03598522905543138
49,693,0.006783378657172935
49,700,0.009861347627318983
49,709,0.04277100038800281
49,742,0.013853730261224249
49,744,0.016657535095060544
49,747,0.014300798228039712
49,757,0.021864134645068114
49,767,0.025996716947786
49,795,0.025516212874244732
49,828,0.02661936749050053
49,875,0.018270038914580095
49,890,0.03225577033701531
49,911,0.01000190663446706
49,949,0.01887342077856964
49,959,0.016705761465948876
49,961,0.005847827511825262
49,997,0.021019771859192796
50,50,1.0
52,18,0.038199456313155376
52,52,0.03513773721937129
52,54,0.016735604619162077
52,87,0.041558702947179164
52,107,0.018052865230601806
52,125,0.062234485600538486
52,155,0.060083158369527254
52,205,0.031138837707195423
52,228,0.017990337652994858
52,273,0.04467784891613321
52,299,0.07891366355530394
52,354,0.028248179516814312
52,392,0.017892553833223947
52,402,0.020783185532676305
52,448,0.028432192505254552
52,464,0.025795527465348113
52,605,0.042103356748781656
52,613,0.020823914388632788
52,693,0.01121997802940295
52,733,0.02308850964530885
52,734,0.03739640226158821
52,737,0.015673893565260236
52,810,0.044351442752467066
52,841,0.05900238742744784
52,867,0.08345073671315088
52,949,0.031217388439801777
52,988,0.06579765304367748
54,39,0.002529071927114666
54,50,0.005091891816666708
54,54,0.7658732705285971
54,117,0.01034564426248839
54,155,0.011118222541327372
54,163,0.01222945483335221
54,168,0.00643138179711055
54,314,0.009159373377674468
54,317,0.014969407991451933
54,435,0.00620682439215112
54,446,0.0057015089913646875
54,457,0.0032106612566108997
54,531,0.007471508486510847
54,533,0.00605170455010762
54,542,0.00804147573227971
54,590,0.01419049324289733
54,603,0.002979836137775117
54,619,0.008243154679673657
54,656,0.0037618565015622826
54,669,0.0045051680284666175
54,702,0.013621711483537158
54,704,0.006685124044452446
54,730,0.006663819067410553
54,764,0.018312491791271323
54,795,0.007809887376850783
54,815,0.0026706443847164638
54,824,0.0033937734846947046
54,840,0.010140953585004145
54,850,0.0030176449302005315
54,887,0.005251000924526833
54,888,0.00854434632574817
54,949,0.005776691526402984
55,55,1.0
56,40,0.02431390551302866
56,56,0.6249309939582476
56,83,0.03152308121409203
56,162,0.013216584209202072
56,192,0.04034347826568886
56,335,0.007094381361412297
56,445,0.031947077199309414
56,476,0.011983173794992898
56,507,0.03170059943198859
56,527,0.013601014593552242
56,533,0.022545594043218153
56,543,0.009976943482369799
56,617,0.019427474632895365
56,705,0.01598256118926734
56,751,0.01198820948784668
56,791,0.03129905591683865
56,942,0.008863839591841125
56,972,0.02980434025490038
56,981,0.01945769185930796
57,57,0.3421867667344393
57,100,0.08180363647891445
57,164,0.0649463903380713
57,408,0.05825706693184693
57,444,0.026603677175405734
57,609,0.05084268067963874
57,742,0.04356674426890516
57,765,0.11758675845105278
57,783,0.036132362042945884
57,786,0.019358113208539376
57,972,0.08219688731285955
57,995,0.07651891637738083
58,58,1.0
60,17,0.0062077172483732505
60,60,0.752117587032677
60,106,0.007653482581280029
60,151,0.0033408408927577656
60,225,0.011779311303791156
60,226,0.0052539821055452175
60,235,0.016511031781565412
60,264,0.012044064388068359
60,270,0.005423333173459258
60,335,0.0025679664253479765
60,380,0.004709296818308319
60,430,0.0031178697903560555
60,449,0.007609657503694312
60,549,0.00829406432046286
60,568,0.020720002576079387
60,618,0.009236621570663664
60,669,0.006075328558329134
60,731,0.0180901525947718
60,734,0.009331924312604755
60,757,0.009024426748366439
60,805,0.007215053786016335
60,853,0.012270783418113322
60,860,0.01063595646319164
60,892,0.010732423108886108
60,933,0.011940653481468324
60,956,0.023169683841067046
60,966,0.004926784174754859
63,63,1.0
64,64,1.0
65,20,0.04218244746733436
65,65,0.014273785181930614
65,75,0.05428700355397508
65,144,0.06345482097034102
65,159,0.05252423984250837
65,183,0.03624927576054367
65,193,0.047264322975720516
65,232,0.0613747410401718
65,311,0.03553861392342262
65,327,0.020993338235315875
65,357,0.04904604315967766
65,374,0.06562560655059739
65,457,0.021766090424519758
65,490,0.02767490149203456
65,491,0.045046876161999067
65,534,0.061823509910217546
65,589,0.029243182676461053
65,663,0.035555665668790155
65,712,0.0510490151210755
65,742,0.02874625167860746
65,763,0.03458608614571473
65,797,0.03351428773974627
65,856,0.018215239158797813
65,878,0.03659099265010315
65,1000,0.03337366251039423
67,67,1.0
69,69,1.0
70,70,0.8923397033143978
70,72,0.0052437833871623405
70,112,0.0061449118589295085
70,136,0.004568585928838895
70,161,0.003489765430540201
70,185,0.006980287363141254
70,199,0.003591665721045952
70,301,0.007516517408461114
70,387,0.00841268647831973
70,410,0.005223739780140842
70,419,0.008071230825280358
70,511,0.006356715578518191
70,516,0.007024792528520364
70,525,0.004244853599225413
70,543,0.0016140794792647343
70,560,0.0026231999396410014
70,573,0.004574349367148822
70,802,0.0014213689663106286
70,819,0.004994120777757278
70,838,0.008229446197762117
70,906,0.002002105827192387
70,948,0.0013119575814513834
70,953,0.004020132660949556
71,71,1.0
72,72,1.0
73,73,1.0
74,74,1.0
75,75,1.0
76,58,0.035345169761508574
76,70,0.01180499097219959
76,75,0.034871981956787465
76,76,0.04768015336243538
76,96,0.0628527556263005
76,115,0.03415854552991448
76,122,0.06799810835972404
76,130,0.024797111450601896
76,169,0.036723125370382644
76,176,0.017546233453624663
76,182,0.059355367104499915
76,270,0.017513550988382726
76,286,0.021077125517988588
76,319,0.03630165644963641
76,461,0.015396877223034337
76,527,0.015898422828130192
76,638,0.08407022769584145
76,673,0.026727495273634543
76,699,0.050632912905921326
76,701,0.05202707150387173
76,730,0.02901949823518909
76,741,0.07403130762175608
76,769,0.022812861088584106
76,916,0.03566161754671611
76,950,0.035652261020298205
76,959,0.02226699094985317
76,979,0.027776580203182594
78,41,0.008484660459187223
78,78,0.9319889654490823
78,197,0.00809668523849203
78,276,0.00852313651751525
78,301,0.01962669580616096
78,658,0.0051762700420923576
78,771,0.005691074871076918
78,860,0.012412511616393057
79,79,1.0
80,80,1.0
81,32,0.013258386729326449
81,35,0.029984516491373913
81,39,0.008717217671399826
81,40,0.022495076203320374
81,56,0.018506275789784445
81,186,0.019666621184180666
81,229,0.007800814281876914
81,253,0.031899670890810715
81,274,0.054619225327214506
81,287,0.031958614203980634
81,315,0.01870569696875687
81,338,0.030745437196905135
81,415,0.027034591336807502
81,449,0.019450153971942434
81,463,0.04122220772276875
81,467,0.015440893944720396
81,549,0.02119948604886346
81,597,0.013803965566651626
81,601,0.04548036068925172
