Node,Type,Community
1,0,0
1,1,0
2,0,1
2,1,1
3,0,2
3,1,2
4,0,3
4,1,3
5,0,4
5,1,4
6,0,5
6,1,5
7,0,6
7,1,6
8,0,7
8,1,7
9,0,8
9,1,8
10,0,9
10,1,9
12,0,10
12,1,10
14,0,11
14,1,11
15,0,12
15,1,12
17,0,13
17,1,13
18,0,14
18,1,14
22,0,15
22,1,15
23,0,16
23,1,16
24,0,17
24,1,17
25,0,18
25,1,18
27,0,19
27,1,19
28,0,20
28,1,20
29,0,21
29,1,21
30,0,22
30,1,22
31,0,23
31,1,23
32,0,24
32,1,24
34,0,25
34,1,25
35,0,26
35,1,26
36,0,27
36,1,27
37,0,28
37,1,28
38,0,29
38,1,29
40,0,30
40,1,30
42,0,31
42,1,31
43,0,32
43,1,32
47,0,33
47,1,33
48,0,34
48,1,34
49,0,35
49,1,35
50,0,36
50,1,36
51,0,37
51,1,37
53,0,38
53,1,38
55,0,39
55,1,39
56,0,40
56,1,40
57,0,41
57,1,41
58,0,42
58,1,42
59,0,43
59,1,43
60,0,44
60,1,44
61,0,45
61,1,45
64,0,46
64,1,46
65,0,47
65,1,47
67,0,48
67,1,48
68,0,49
68,1,49
69,0,50
69,1,50
70,0,51
70,1,51
72,0,52
72,1,52
73,0,53
73,1,53
75,0,54
75,1,54
76,0,55
76,1,55
77,0,56
77,1,56
78,0,57
78,1,57
80,0,58
80,1,58
81,0,59
81,1,59
83,0,60
83,1,60
84,0,61
84,1,61
85,0,62
85,1,62
86,0,63
86,1,63
87,0,64
87,1,64
88,0,65
88,1,65
89,0,66
89,1,66
90,0,67
90,1,67
91,0,68
91,1,68
93,0,69
93,1,69
94,0,70
94,1,70
95,0,71
95,1,71
96,0,72
96,1,72
97,0,73
97,1,73
98,0,74
98,1,74
99,0,75
99,1,75
101,0,76
101,1,76
102,0,77
102,1,77
103,0,78
103,1,78
104,0,79
104,1,79
107,0,80
107,1,80
108,0,81
108,1,81
111,0,82
111,1,82
112,0,83
112,1,83
113,0,84
113,1,84
114,0,85
114,1,85
115,0,86
115,1,86
117,0,87
117,1,87
119,0,88
119,1,88
120,0,89
120,1,89
122,0,90
122,1,90
123,0,91
123,1,91
124,0,92
124,1,92
125,0,93
125,1,93
126,0,94
126,1,94
127,0,95
127,1,95
129,0,96
129,1,96
131,0,97
131,1,97
132,0,98
132,1,98
135,0,99
135,1,99
136,0,100
136,1,100
137,0,101
137,1,101
138,0,102
138,1,102
140,0,103
140,1,103
141,0,104
141,1,104
142,0,105
142,1,105
143,0,106
143,1,106
144,0,107
144,1,107
146,0,108
146,1,108
147,0,109
147,1,109
148,0,110
148,1,110
149,0,111
149,1,111
150,0,112
150,1,112
151,0,113
151,1,113
153,0,114
153,1,114
154,0,115
154,1,115
156,0,116
156,1,116
157,0,117
157,1,117
158,0,118
158,1,118
159,0,119
159,1,119
160,0,120
160,1,120
161,0,121
