Source,Target,Probability
1,1,0.5758471367955195
1,6,0.25708780029460016
1,9,0.16706506290988024
2,2,0.10030736665920938
2,3,0.5258841162903322
2,5,0.3738085170504585
3,2,0.36940646573028885
3,3,0.3873394332891144
3,8,0.24325410098059677
4,4,0.4973190561141804
4,7,0.22576094979937242
4,8,0.2769199940864472
5,3,0.14975643663421745
5,5,0.5322487384853053
5,9,0.31799482488047726
6,6,0.48007810050772426
6,7,0.27079895223724326
6,8,0.24912294725503253
7,2,0.36929668469849847
7,3,0.15488972915932
7,7,0.4758135861421815
8,6,0.3532846918628222
8,8,0.5092419312368868
8,10,0.13747337690029118
9,4,0.22482427150634302
9,9,0.35273394726671425
9,10,0.42244178122694276
10,1,0.36531981344480885
10,2,0.31735008593156416
10,10,0.31733010062362693
