Source,Target,Probability
1,161,0.0428283477198102
1,162,0.068570615020399
1,392,0.1317301661423274
1,406,0.17451183447312626
1,520,0.026705523302321562
1,632,0.15867207842491546
1,731,0.07577293013342905
1,828,0.12057383233790243
1,891,0.06636404204461972
1,895,0.11983609912157843
1,947,0.01443453127957056
2,2,0.8821207310544777
2,148,0.008866035520408412
2,238,0.002234597998478489
2,271,0.010523035711065937
2,316,0.008241739037007846
2,333,0.00573131032270458
2,425,0.010040597626412582
2,493,0.009601018109040769
2,539,0.012931419235231533
2,559,0.012883765507742359
2,587,0.020382475758565714
2,729,0.009422292876215639
2,731,0.007020981242648002
3,63,0.07141133780678371
3,321,0.008663402798836768
3,356,0.06970673244661284
3,380,0.06775744561771217
3,512,0.04436766417459445
3,513,0.0544287913314639
3,571,0.01542832736596903
3,635,0.05827226214543104
3,639,0.0371324166113829
3,645,0.04773173686066554
3,810,0.09698916945004259
3,887,0.04723545877514496
3,916,0.07407932520886182
3,920,0.0473404681864318
3,982,0.2594554612200666
4,4,0.683305466411108
4,66,0.0033372692710813222
4,162,0.0130880154376445
4,175,0.008428251761540434
4,222,0.01707045474585688
4,228,0.01939223562692777
4,311,0.02063833107158816
4,357,0.01181497346227109
4,409,0.004728009646340806
4,413,0.014380209579587017
4,443,0.014786992760973252
4,444,0.01356350055008874
4,479,0.0030887943848984705
4,492,0.011077782549910934
4,539,0.026637791452971387
4,632,0.03028560574133157
4,680,0.017576311397244714
4,717,0.022137615937725022
4,723,0.045764153311634796
4,789,0.01889823489927509
7,7,0.893080688065547
7,33,0.006479734711166468
7,123,0.005116268843588761
7,328,0.0036778996955949923
7,456,0.010013261795609343
7,630,0.03222561936681356
7,824,0.0058187027621438795
7,884,0.00449317034833139
7,886,0.0013276146158781577
7,962,0.03776703979532657
8,8,0.7784459471395893
8,44,0.022961756503096283
8,80,0.031106802051475622
8,139,0.019005645437179954
8,362,0.015768351231267953
8,436,0.007546749450852973
8,481,0.004427853921649685
8,507,0.009288168580171202
8,776,0.010358809221487016
8,787,0.06661334303826018
8,951,0.03447657342496973
9,9,0.6302682772005711
9,103,0.046538087342317326
9,123,0.019114267656545093
9,169,0.040171738312552704
9,282,0.043524466039979254
9,347,0.03908744727379787
9,386,0.03713139550487916
9,520,0.009156346771853341
9,635,0.0453193749514331
9,679,0.025850820551584545
9,897,0.05168902621692631
9,979,0.012148752177560302
10,10,0.8291370824556991
10,71,0.019726433214971015
10,186,0.0013523647277109295
10,278,0.01034859993165613
10,288,0.011878262796252072
10,297,0.0062686990350754295
10,382,0.007030965105507555
10,392,0.013745443613975053
10,513,0.012882587632195554
10,520,0.0027865998767294376
10,524,0.015863658365932756
10,573,0.009784045933066933
10,644,0.014009625821892921
10,693,0.043676146799729657
10,886,0.0015094846896053981
11,11,0.6797632617464734
11,38,0.03784464397429262
11,89,0.03234570481719175
11,102,0.044701327654504436
11,123,0.01738071556455642
11,148,0.029831621810904232
11,185,0.023347815332313844
11,222,0.027883062071244493
11,241,0.02318180108218638
11,368,0.0347315444960974
11,568,0.021269736750664788
11,817,0.010977742096784827
11,830,0.016741022602785396
12,12,0.12826986725052095
12,58,0.11343662001550475
12,281,0.059801164857037854
12,368,0.0574061404626749
12,493,0.0533947969438743
12,637,0.07884048534470933
12,658,0.01432185612480953
12,686,0.045069232283729
12,718,0.08313732536436755
12,828,0.062132445321110355
12,850,0.10652780552293609
12,886,0.007454535252318593
12,912,0.06462721401582945
12,951,0.07623835368292475
12,979,0.018258954858963415
12,994,0.031083202698689156
13,13,0.7672103939683605
13,248,0.013834441279461023
13,281,0.016147176666366954
13,425,0.015077459373911169
13,439,0.015813384083490374
13,458,0.008425479280825413
13,529,0.01104628560922694
13,539,0.019418460476229544
13,570,0.028292035691094532
13,612,0.004338419503596051
13,717,0.016137915220321715
13,730,0.005802401384623433
13,759,0.04862938988225765
13,837,0.015240751326125283
13,878,0.014586006254109107
14,169,0.07874420483610171
14,219,0.09521749824301304
14,233,0.15417184688347152
14,355,0.14174222570486825
14,381,0.10925957984310306
14,392,0.08853283185132729
14,727,0.0974665205915343
14,848,0.1505766281898507
14,912,0.08428866385673019
16,16,0.026106897074190803
16,152,0.030019544571581784
16,169,0.06301381302643234
16,235,0.03528485393606161
16,271,0.061079234822518466
16,287,0.05532696880095456
16,367,0.04192267944611259
16,371,0.04452711289462863
16,382,0.036239124420787736
16,506,0.07460155169598874
16,511,0.05354971193602149
16,534,0.1044335526773939
16,568,0.036691651557721194
16,605,0.029237266360878138
16,622,0.08266485112702818
16,794,0.05944334280486713
16,835,0.1658578428468327
